Year;Month;Day;Week;Temp;Depth
2015;12;1;49;28.37;4.62
2015;12;1;49;28.37;4.84
2015;12;1;49;28.37;4.86
2015;12;1;49;28.35;4.93
2015;12;1;49;28.34;5.06
2015;12;1;49;28.34;5.09
2015;12;1;49;28.31;5.29
2015;12;1;49;28.30;5.31
2015;12;1;49;28.30;5.54
2015;12;1;49;28.28;5.45
2015;12;1;49;28.12;5.83
2015;12;1;49;28.12;5.90
2015;12;1;49;28.10;5.66
2015;12;1;49;28.14;5.98
2015;12;1;49;28.16;6.07
2015;12;1;49;28.14;6.18
2015;12;1;49;28.14;6.16
2015;12;1;49;28.13;6.29
2015;12;1;49;28.13;6.34
2015;12;1;49;28.14;6.40
2015;12;1;49;28.14;6.36
2015;12;1;49;28.14;6.38
2015;12;1;49;28.14;6.34
2015;12;1;49;28.16;6.48
2015;12;1;49;28.17;6.45
2015;12;1;49;28.17;6.54
2015;12;1;49;28.19;6.50
2015;12;1;49;28.19;6.45
2015;12;1;49;28.19;6.45
2015;12;1;49;28.20;6.38
2015;12;1;49;28.20;6.25
2015;12;1;49;28.20;6.31
2015;12;1;49;28.20;6.29
2015;12;1;49;28.21;6.19
2015;12;1;49;28.21;6.23
2015;12;1;49;28.23;6.17
2015;12;1;49;28.23;6.03
2015;12;1;49;28.23;5.95
2015;12;1;49;28.23;5.93
2015;12;1;49;28.16;5.85
2015;12;1;49;28.17;5.67
2015;12;1;49;28.16;5.52
2015;12;1;49;28.16;5.52
2015;12;1;49;28.17;5.44
2015;12;1;49;28.17;5.37
2015;12;1;49;28.20;5.25
2015;12;1;49;28.25;5.06
2015;12;1;49;28.25;5.04
2015;12;1;49;28.28;4.90
2015;12;1;49;28.34;4.80
2015;12;1;49;28.32;4.66
2015;12;1;49;28.37;4.75
2015;12;1;49;28.39;4.56
2015;12;1;49;28.39;4.42
2015;12;1;49;28.39;4.40
2015;12;1;49;28.39;4.39
2015;12;1;49;28.37;4.37
2015;12;1;49;28.37;4.25
2015;12;1;49;28.31;4.11
2015;12;1;49;28.31;4.12
2015;12;1;49;28.30;4.20
2015;12;1;49;28.31;4.04
2015;12;1;49;28.39;4.08
2015;12;1;49;28.42;3.93
2015;12;1;49;28.39;4.02
2015;12;1;49;28.39;4.12
2015;12;1;49;28.39;4.15
2015;12;1;49;28.38;4.08
2015;12;1;49;28.37;4.17
2015;12;1;49;28.39;4.12
2015;12;1;49;28.37;4.23
2015;12;1;49;28.37;4.24
2015;12;1;49;28.32;4.29
2015;12;1;49;28.34;4.47
2015;12;1;49;28.45;4.51
2015;12;1;49;28.38;4.48
2015;12;1;49;28.39;4.69
2015;12;1;49;28.37;4.68
2015;12;1;49;28.37;4.79
2015;12;1;49;28.34;4.95
2015;12;1;49;28.31;5.05
2015;12;1;49;28.25;5.14
2015;12;1;49;28.28;5.06
2015;12;1;49;28.24;5.31
2015;12;1;49;28.23;5.27
2015;12;1;49;28.24;5.53
2015;12;1;49;28.32;5.65
2015;12;1;49;28.23;5.65
2015;12;1;49;28.21;5.75
2015;12;1;49;28.19;5.70
2015;12;1;49;28.17;5.84
2015;12;1;49;28.27;5.83
2015;12;1;49;28.23;6.00
2015;12;1;49;28.20;5.96
2015;12;1;49;28.20;6.12
2015;12;1;49;28.20;6.06
2015;12;1;49;28.20;6.13
2015;12;1;49;28.20;6.22
2015;12;1;49;28.19;6.17
2015;12;1;49;28.20;6.18
2015;12;1;49;28.20;6.17
2015;12;1;49;28.20;6.15
2015;12;1;49;28.20;6.13
2015;12;1;49;28.20;6.10
2015;12;1;49;28.20;6.15
2015;12;1;49;28.20;6.11
2015;12;1;49;28.21;6.11
2015;12;1;49;28.23;6.08
2015;12;1;49;28.23;5.96
2015;12;1;49;28.21;5.87
2015;12;1;49;28.23;5.89
2015;12;1;49;28.23;5.82
2015;12;1;49;28.23;5.64
2015;12;1;49;28.23;5.71
2015;12;1;49;28.23;5.48
2015;12;1;49;28.23;5.45
2015;12;1;49;28.24;5.44
2015;12;1;49;28.24;5.35
2015;12;1;49;28.24;5.22
2015;12;1;49;28.24;5.27
2015;12;1;49;28.24;5.09
2015;12;1;49;28.24;5.05
2015;12;1;49;28.24;4.98
2015;12;1;49;28.24;4.94
2015;12;1;49;28.24;4.72
2015;12;1;49;28.24;4.65
2015;12;1;49;28.24;4.80
2015;12;1;49;28.24;4.62
2015;12;1;49;28.24;4.61
2015;12;1;49;28.24;4.48
2015;12;1;49;28.24;4.55
2015;12;1;49;28.24;4.43
2015;12;1;49;28.24;4.41
2015;12;1;49;28.24;4.34
2015;12;1;49;28.24;4.34
2015;12;1;49;28.24;4.31
2015;12;1;49;28.23;4.34
2015;12;1;49;28.23;4.32
2015;12;1;49;28.16;4.35
2015;12;1;49;28.12;4.33
2015;12;1;49;28.17;4.27
2015;12;1;49;28.20;4.44
2015;12;1;49;28.16;4.43
2015;12;1;49;28.17;4.57
2015;12;2;49;28.19;4.54
2015;12;2;49;28.19;4.57
2015;12;2;49;28.17;4.71
2015;12;2;49;28.19;4.67
2015;12;2;49;28.09;4.80
2015;12;2;49;28.10;4.88
2015;12;2;49;28.12;4.95
2015;12;2;49;28.12;5.05
2015;12;2;49;28.12;5.07
2015;12;2;49;28.12;5.11
2015;12;2;49;28.12;5.35
2015;12;2;49;28.12;5.29
2015;12;2;49;28.12;5.38
2015;12;2;49;28.12;5.51
2015;12;2;49;28.12;5.58
2015;12;2;49;28.12;5.64
2015;12;2;49;28.12;5.75
2015;12;2;49;28.12;5.77
2015;12;2;49;28.12;5.85
2015;12;2;49;28.12;5.91
2015;12;2;49;28.13;5.95
2015;12;2;49;28.13;6.00
2015;12;2;49;28.14;6.00
2015;12;2;49;28.14;6.17
2015;12;2;49;28.17;6.17
2015;12;2;49;28.20;6.18
2015;12;2;49;28.20;6.13
2015;12;2;49;28.20;6.11
2015;12;2;49;28.20;6.17
2015;12;2;49;28.20;6.20
2015;12;2;49;28.23;6.24
2015;12;2;49;28.21;6.17
2015;12;2;49;28.23;6.16
2015;12;2;49;28.21;6.21
2015;12;2;49;28.21;6.07
2015;12;2;49;28.21;6.09
2015;12;2;49;28.21;6.14
2015;12;2;49;28.20;5.96
2015;12;2;49;28.21;6.04
2015;12;2;49;28.21;5.95
2015;12;2;49;28.23;5.91
2015;12;2;49;28.23;5.86
2015;12;2;49;28.23;5.78
2015;12;2;49;28.23;5.70
2015;12;2;49;28.23;5.67
2015;12;2;49;28.23;5.60
2015;12;2;49;28.23;5.43
2015;12;2;49;28.20;5.35
2015;12;2;49;28.20;5.23
2015;12;2;49;28.20;5.23
2015;12;2;49;28.20;5.20
2015;12;2;49;28.28;5.05
2015;12;2;49;28.28;4.97
2015;12;2;49;28.28;4.82
2015;12;2;49;28.28;4.92
2015;12;2;49;28.28;4.70
2015;12;2;49;28.27;4.55
2015;12;2;49;28.25;4.68
2015;12;2;49;28.25;4.56
2015;12;2;49;28.25;4.55
2015;12;2;49;28.25;4.44
2015;12;2;49;28.25;4.47
2015;12;2;49;28.23;4.36
2015;12;2;49;28.23;4.29
2015;12;2;49;28.23;4.32
2015;12;2;49;28.23;4.34
2015;12;2;49;28.23;4.33
2015;12;2;49;28.21;4.22
2015;12;2;49;28.21;4.23
2015;12;2;49;28.21;4.30
2015;12;2;49;28.21;4.31
2015;12;2;49;28.21;4.31
2015;12;2;49;28.23;4.27
2015;12;2;49;28.24;4.34
2015;12;2;49;28.23;4.40
2015;12;2;49;28.25;4.39
2015;12;2;49;28.23;4.49
2015;12;2;49;28.24;4.50
2015;12;2;49;28.24;4.55
2015;12;2;49;28.24;4.62
2015;12;2;49;28.23;4.75
2015;12;2;49;28.23;4.62
2015;12;2;49;28.24;4.87
2015;12;2;49;28.23;4.96
2015;12;2;49;28.28;4.96
2015;12;2;49;28.31;5.09
2015;12;2;49;28.31;5.13
2015;12;2;49;28.31;5.23
2015;12;2;49;28.30;5.21
2015;12;2;49;28.31;5.38
2015;12;2;49;28.31;5.43
2015;12;2;49;28.30;5.50
2015;12;2;49;28.28;5.52
2015;12;2;49;28.28;5.50
2015;12;2;49;28.28;5.61
2015;12;2;49;28.27;5.73
2015;12;2;49;28.27;5.81
2015;12;2;49;28.25;5.78
2015;12;2;49;28.34;5.86
2015;12;2;49;28.34;5.86
2015;12;2;49;28.38;5.93
2015;12;2;49;28.37;5.93
2015;12;2;49;28.35;5.91
2015;12;2;49;28.34;5.94
2015;12;2;49;28.34;5.92
2015;12;2;49;28.32;6.08
2015;12;2;49;28.34;5.96
2015;12;2;49;28.34;5.92
2015;12;2;49;28.34;5.97
2015;12;2;49;28.34;5.87
2015;12;2;49;28.34;5.92
2015;12;2;49;28.32;5.87
2015;12;2;49;28.32;5.88
